Código;Grupo/Família (Abrev.);Nome do produto;Unidade;Preco_Unit;Cobre_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg
2732;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM MARROM MAXFIO 450/750V100M;RL;326.8077;2.97;2.35;0.0;0.019;5.339
2732;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM MARROM MAXFIO 450/750V100M;RL;326.8077;3.08;2.3;0.0;0.019;5.399
F072B;CEL-FLEX 95,0MM;CABO ELETRICO FLEXIVEL 95,0MM PRETO METRO;M;0.0;0.0;0.0;0.0;0.0;0.0
F173B;CEL-FLEX 95,0MM;CABO ELETRICO FLEXIVEL 95,0MM AZUL METRO;M;0.0;0.0;0.0;0.0;0.0;0.0
F173;CEL-FLEX 95,0MM;CABO ELETRICO FLEXIVEL 95,0MM AZUL 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0
F256B;CEL-FLEX 95,0MM;CABO ELETRICO FLEX 120,0MM AZUL MAXFIO 450/750V NBR427 METRO(BOBINA);M;0.0;0.0;0.0;0.0;0.0;0.0
K156;CEL-HEPR/1KV FLEXIVEL;CABO ELETRICO MULTIPLO 4X50,0MM HEPR PRETO 1KV 90º;M;0.0;0.0;0.0;0.0;0.0;0.0
PL025;CEL-PL 2 X 0,50MM;CORDAO PARALELO POLARIZADO 2X0,50MM PRETO MAXFIO 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0
PL026;CEL-PL 2 X 0,75MM;CORDAO PARALELO POLARIZADO 2X0,75MM PRETO MAXFIO 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0
PL033;CEL-PL 2 X 0,75MM;CORDAO PARALELO POLARIZADO 2X0,75MM BRANCO MAXFIO 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0
PL038;CEL-PL 2 X 0,75MM;CORDAO PARALELO 2X0,75MM MARROM MAXFIO 300V NBR247 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0
PL041;CEL-PL 2 X 0,75MM;CORDAO PARALELO POLARIZADO 2x075MM VERMELHO/PRETO MAXFIO 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0
PL041B;CEL-PL 2 X 0,75MM;CORDAO PARALELO POLARIZADO 2X0,75MM VERMELHO/PRETO MAXFIO (BOBINA);M;0.0;0.0;0.0;0.0;0.0;0.0
PL042;CEL-PL 2 X 0,75MM;CORDAO PARALELO POLARIZADO 2x1,0MM VERMELHO/PRETO MAXFIO 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0
PL028;CEL-PL 2 X 1,0MM;CORDAO PARALELO POLARIZADO 2X1,0MM MARROM MAXFIO 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0
PL022B;CEL-PL 2 X 1,0MM;CORDAO PARALELO POLARIZADO 2X1,0MM BRANCO MAXFIO METRO (BOBINA);M;0.0;0.0;0.0;0.0;0.0;0.0
PL027B;CEL-PL 2 X 1,0MM;CORDAO PARALELO POLARIZADO 2X1,0MM PRETO MAXFIO METRO (BOBINA);RL;0.0;0.0;0.0;0.0;0.0;0.0
PL001B;CEL-PL 2X1,5MM;CORDAO PARALELO 2X1,5MM BRANCO MAXFIO 300V NBR247 METRO (BOBINA);M;0.0;0.0;0.0;0.0;0.0;0.0
PL001;CEL-PL 2X1,5MM;CORDAO PARALELO 2X1,5MM BRANCO MAXFIO 300V NBR247 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0
PL036;CEL-PL 2X1,5MM;CORDAO PARALELO 2X1,5MM PRETO MAXFIO 300V NBR247 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0
PL002B;CEL-PL 2X2,5MM;CORDAO PARALELO 2X2,5MM BRANCO MAXFIO 300V NBR247 METRO (BOBINA);M;0.0;0.0;0.0;0.0;0.0;0.0
PL002;CEL-PL 2X2,5MM;CORDAO PARALELO 2X2,5MM BRANCO MAXFIO 300V NBR247 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0
PL037;CEL-PL 2X2,5MM;CORDAO PARALELO 2X2,5MM PRETO MAXFIO 300V NBR247 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0
PL040;CEL-PL 2X2,5MM;CORDAO PARALELO POLARIZADO 2X2,5MM MARROM MAXFIO 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0
PL037B;CEL-PL 2X2,5MM;CORDAO PARALELO 2X2,5MM PRETO MAXFIO 300V NBR247 (BOBINA);M;0.0;0.0;0.0;0.0;0.0;0.0
PL040B;CEL-PL 2X2,5MM;CORDAO PARALELO POLARIZADO 2X2,5MM MARROM MAXFIO (BOBINA);M;0.0;0.0;0.0;0.0;0.0;0.0
PP015B;CEL-PP 2X6,0MM;CABO DE CONTROLE 2X6,0MM PRETO VOLTMASTER METRO;M;0.0;0.0;0.0;0.0;0.0;0.0
PP016B;CEL-PP 2X6,0MM;CABO DE CONTROLE 5X1,5MM PRETO VOLTMASTER METRO;M;0.0;0.0;0.0;0.0;0.0;0.0
PP014B;CEL-PP 3X1,5MM;CABO DE CONTROLE 3X1,5MM PRETO VOLTMASTER METRO;M;0.0;0.0;0.0;0.0;0.0;0.0
PP014;CEL-PP 3X1,5MM;CABO DE CONTROLE 3X1,5MM PRETO VOLTMASTER 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0
PP030B;CEL-PP 3X1,5MM;CABO DE CONTROLE 3X1,0MM PRETO VOLTMASTER METRO;M;0.0;0.0;0.0;0.0;0.0;0.0
PP012;CEL-PP 3X2,5MM;CABO DE CONTROLE 3X2,5MM PRETO VOLTMASTER 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0
